# tau [ps];  C6H11N2 [ps*S/m];  C6H11N2-var [ps^2*S^2/m^2];  C2N3 [ps*S/m];  C2N3-var [ps^2*S^2/m^2];  C6H11N2/C6H11N2 [ps*S/m];  C6H11N2/C6H11N2-var [ps^2*S^2/m^2];  C2N3/C2N3 [ps*S/m];  C2N3/C2N3-var [ps^2*S^2/m^2];  C6H11N2/C2N3 [ps*S/m];  C6H11N2/C2N3-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
102.600000;  436.070424;  0.027256;  507.820671;  0.040834;  -360.162044;  0.207234;  -292.746549;  1.474333;  255.545911;  2.033354;  546.528413;  9.300376
103.200000;  438.127477;  0.027457;  510.214284;  0.041190;  -361.779037;  0.209144;  -293.893325;  1.488760;  257.027374;  2.053538;  549.696773;  9.392699
103.800000;  440.180520;  0.027646;  512.603758;  0.041539;  -363.398815;  0.211783;  -295.055212;  1.508563;  258.485964;  2.080452;  552.816216;  9.515801
104.400000;  442.224470;  0.027844;  514.980688;  0.041862;  -365.016325;  0.214297;  -296.223894;  1.527304;  259.921574;  2.105860;  555.886513;  9.632015
105.000000;  444.276943;  0.028013;  517.371241;  0.042152;  -366.623171;  0.217122;  -297.351836;  1.548150;  261.421778;  2.135176;  559.094954;  9.766102
105.600000;  446.325795;  0.028215;  519.753481;  0.042493;  -368.222962;  0.219889;  -298.461733;  1.568127;  262.933546;  2.162730;  562.328127;  9.892131
106.200000;  448.366510;  0.028492;  522.146109;  0.042779;  -369.831931;  0.222577;  -299.631078;  1.586573;  264.387021;  2.188918;  565.436631;  10.011912
106.800000;  450.415370;  0.028752;  524.537004;  0.043151;  -371.427861;  0.224951;  -300.738671;  1.603320;  265.911810;  2.211691;  568.697651;  10.116075
107.400000;  452.455898;  0.028999;  526.918368;  0.043501;  -373.061191;  0.227167;  -301.966306;  1.618370;  267.282644;  2.232315;  571.629413;  10.210406
108.000000;  454.503267;  0.029268;  529.304384;  0.043847;  -374.672201;  0.230099;  -303.115965;  1.639760;  268.751653;  2.261902;  574.771138;  10.345735
108.600000;  456.553651;  0.029544;  531.692729;  0.044234;  -376.292539;  0.232117;  -304.285845;  1.653742;  270.199403;  2.281179;  577.867399;  10.433906
109.200000;  458.594292;  0.029859;  534.080832;  0.044620;  -377.878666;  0.234579;  -305.386156;  1.670441;  271.729528;  2.304024;  581.139830;  10.538398
109.800000;  460.640303;  0.030145;  536.486788;  0.045051;  -379.464468;  0.237083;  -306.488186;  1.689139;  273.278822;  2.329241;  584.453259;  10.653738
110.400000;  462.701983;  0.030432;  538.881439;  0.045456;  -381.103479;  0.239511;  -307.685271;  1.706054;  274.701740;  2.351726;  587.496411;  10.756581
111.000000;  464.762475;  0.030707;  541.288968;  0.045793;  -382.710736;  0.242304;  -308.808633;  1.727030;  276.227557;  2.380245;  590.759630;  10.887028
111.600000;  466.823553;  0.030948;  543.700049;  0.046147;  -384.321352;  0.245492;  -309.943403;  1.751078;  277.744038;  2.413284;  594.002885;  11.038144
112.200000;  468.890298;  0.031170;  546.101335;  0.046520;  -385.936939;  0.248990;  -311.066405;  1.777343;  279.262865;  2.450226;  597.251155;  11.207112
112.800000;  470.941222;  0.031385;  548.496725;  0.046822;  -387.561528;  0.251687;  -312.253845;  1.797231;  280.698122;  2.477858;  600.320696;  11.333501
113.400000;  472.987583;  0.031625;  550.883866;  0.047086;  -389.175841;  0.254686;  -313.416846;  1.817821;  282.152616;  2.506581;  603.431378;  11.464876
114.000000;  475.035690;  0.031859;  553.262162;  0.047311;  -390.771768;  0.257378;  -314.513965;  1.836629;  283.674880;  2.531793;  606.687000;  11.580194
114.600000;  477.082098;  0.032050;  555.658501;  0.047546;  -392.379397;  0.260864;  -315.667093;  1.861050;  285.152033;  2.565355;  609.846142;  11.733705
115.200000;  479.133411;  0.032271;  558.056138;  0.047812;  -394.009943;  0.263821;  -316.872557;  1.880021;  286.568545;  2.590858;  612.875594;  11.850351
115.800000;  481.189876;  0.032517;  560.460650;  0.048135;  -395.608529;  0.266973;  -317.979739;  1.901247;  288.110001;  2.619262;  616.172259;  11.980271
116.400000;  483.247658;  0.032795;  562.863644;  0.048470;  -397.235834;  0.269610;  -319.163049;  1.919523;  289.559201;  2.644515;  619.271620;  12.095775
117.000000;  485.310783;  0.033054;  565.262284;  0.048820;  -398.861320;  0.272855;  -320.321710;  1.941693;  291.032513;  2.675983;  622.422549;  12.239705
117.600000;  487.375255;  0.033308;  567.679768;  0.049116;  -400.487011;  0.275610;  -321.495980;  1.960830;  292.509671;  2.702056;  625.581703;  12.358962
